aua,sa,res_state_name
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Telangana
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Karnataka
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
210000.0,210000,Andhra Pradesh
